Code,Country,Column3,Shortfall,Shortfall/Demand
1,Belgium,EU 27,0.0,0.0
2,Bulgaria,EU 27,0.0,0.0
3,Czechia,EU 27,0.0,0.0
4,Denmark,EU 27,0.0,0.0
5,Germany,EU 27,38.93877917417271,0.15934585726774264
6,Estonia,EU 27,0.0,0.0
7,Greece,EU 27,0.0,0.0
8,Spain,EU 27,0.0,0.0
9,France,EU 27,0.0,0.0
10,Croatia,EU 27,0.0,0.0
11,Italy,EU 27,0.0,0.0
12,Latvia,EU 27,0.0,0.0
13,Lithuania,EU 27,0.0,0.0
14,Luxembourg,EU 27,0.0,0.0
15,Hungary,EU 27,0.0,0.0
16,Netherlands,EU 27,5.348770411989025,0.04444713290749827
17,Austria,EU 27,0.0,0.0
18,Poland,EU 27,0.0,0.0
19,Portugal,EU 27,0.0,0.0
20,Romania,EU 27,0.0,0.0
21,Slovenia,EU 27,0.0,0.0
22,Slovakia,EU 27,0.0,0.0
23,Finland,EU 27,0.08641748059731078,0.01744991170145192
24,UK,NonEU,0.0,0.0
25,North Macedonia,NonEU,0.0,0.0
26,Serbia,NonEU,0.0,0.0
27,Moldova,NonEU,0.3359679536993878,0.08352533056880979
28,Ireland,EU 27,0.0,0.0
