Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Greece,Spain,France,Croatia,Italy,Latvia,Lithuania,Luxembourg,Hungary,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,UK,North Macedonia,Serbia,Moldova,Ukraine,Ireland
0,0,0,0,37.05852627,0,0,0,25.267177,0,0,0,0,0,0,130.7342454,0,0,0,0,0,0,0,61.01555335,0,0,0,0,0
0,0,0,0,0,0,6.082838907,0,0,0,0,0,0,0,0,0,0,0,0,75.42720246,0,0,0,0,0,31.35001591,0,0,0
0,0,0,0,168.8221752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.86061877,0,0,0,0,0,0,0
0,0,0,0,12.72717064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.22703027,0,16.1897097,0.374328548,0,0,0,0,0,0,0,0,0,0,0,119.1300604,31.35001591,87.21855172,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.614928223,0,0,0,0,0,0,0,0,0,0,4.389002228,0,0,0,0,0,0
0,11.04269217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.44105261,0,0,0,0,0,0,0,0,0,7.486570963,0,0,0,0,0,0,0,0,0,0
81.41645923,0,9.3582137,0,57.45943214,0,0,20.9623987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.299406689,0,0,0,0,0,5.053435401,0,0,0,0,0,0,0,0
0,0,59.89256771,0,0,0,45.57450074,0,0,0,0,0,0,0,0,0,107.6194576,0,0,0,2.058807015,0,0,0,0,0,0,0,0
0,0,0,0,0,5.614928223,0,0,0,0,0,0,6.363585319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.082838907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.585524715,0,0,0,2.5267177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4.866271126,0,0,0,0,0,0,14.31806697,0,0,4.679106852,0,12.07209568,0,0,0,23.02120571,0,48.28838272,0
30.97568736,0,0,0,55.5877894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72179903,0,0,0,0,0
0,0,0,0,31.8179266,0,0,0,0,0,18.15493459,0,0,0,0,0,0,0,0,0,0,146.9239552,0,0,0,0,0,0,0
0,0,0,25.04924599,21.89822007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,13.47582773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13.85015628,0,0,0,0,0,0,0,0,0,0,0,0,7.205824552,0,0,0,0,0,0,0,0,0,0,0,0.187164274,0,0
0,0,0,0,0,0,0,0,0,0.748657097,2.713881974,0,0,0,0,0,10.52799042,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.772688989,0,23.06799678,0,0,0,0,0,0,0,0,0,0,23.39553426,0
0,0,0,0,0,5.109584683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75.14645604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.2295757,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.5267177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37.24569055,0,0,0,0,0,0,0,0,0,0,0,0,13.28866346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673689426,0,0,0,0,0,0,0,6.353705273,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.30732374,0,0,0,0,0,0,38.93016901,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21628704,0,0,0,0,0
